sc_code,sc_name,ident,match_method,notes
177,"Thompson, Manitoba",CYTH,auto,
178,"Thunder Bay, Ontario",CYQT,auto,
180,"Timmins, Ontario",CYTS,auto,
5002,"Tofino, British Columbia",CYAZ,auto,
162,"Toronto/Billy Bishop Toronto City, Ontario",CYTZ,auto,
161,"Toronto/Lester B. Pearson International, Ontario",CYYZ,auto,
168,"Val-d'Or, Quebec",CYVO,auto,
4238,"Vancouver Harbour, British Columbia",CYHC,auto,
169,"Vancouver International, British Columbia",CYVR,auto,
4181,"Victoria Harbour, British Columbia",CYWH,auto,
171,"Victoria International, British Columbia",CYYJ,auto,
147,"Wabush, Newfoundland and Labrador",CYWK,auto,
5110,"Whitecourt, Alberta",CYZU,auto,
155,"Whitehorse/Erik Nielsen International, Yukon",CYXY,auto,
158,"Williams Lake, British Columbia",CYWL,auto,
160,"Windsor, Ontario",CYQG,auto,
163,"Winnipeg/James Armstrong Richardson International, Manitoba",CYWG,auto,
5111,"Winnipeg/St. Andrews, Manitoba",CYAV,auto,
187,"Yellowknife, Northwest Territories",CYZF,auto,
172,"Yorkton Municipal, Saskatchewan",CYQV,auto,
15,"Îles-de-la-Madeleine, Quebec",CYGR,auto,
